ma_mon_hoc,ma_lop,ma_giang_vien,ngay_thi,ca_thi,phong_thi,hinh_thuc_thi,gk_ck
MA006,MA006.Q124,,2025-11-03,2,C102,,GK
MA006,MA006.Q125,,2025-11-03,2,B7.02,,GK
MA006,MA006.Q126,,2025-11-03,2,B6.12,,GK
MA006,MA006.Q13,,2025-11-03,2,C307,,GK
MA006,MA006.Q13,,2025-11-03,2,C309,,GK
MA006,MA006.Q13.CNVN,,2025-11-03,2,E41,,GK
MA006,MA006.Q13.CNVN,,2025-11-03,2,E42,,GK
MA006,MA006.Q13.CNVN,,2025-11-03,2,E44,,GK
MA006,MA006.Q14,,2025-11-03,2,B3.14,,GK
MA006,MA006.Q14.CNVN,,2025-11-03,2,C305,,GK
MA006,MA006.Q14.CNVN,,2025-11-03,2,C302,,GK
MA006,MA006.Q15,,2025-11-03,2,B6.08,,GK
MA006,MA006.Q15,,2025-11-03,2,B6.10,,GK
MA006,MA006.Q16,,2025-11-03,2,B1.04,,GK
MA006,MA006.Q16,,2025-11-03,2,B3.20,,GK
MA006,MA006.Q17,,2025-11-03,2,C311,,GK
MA006,MA006.Q17,,2025-11-03,2,C314,,GK
MA006,MA006.Q18,,2025-11-03,2,B1.16,,GK
MA006,MA006.Q18,,2025-11-03,2,B1.18,,GK
MA006,MA006.Q19,,2025-11-03,2,B1.06,,GK
MA006,MA006.Q19,,2025-11-03,2,B1.20,,GK
CS4283,CS4283.Q11.CTTT,,2025-11-03,1,B1.20,,GK
CS4283,CS4283.Q12.CTTT,,2025-11-03,1,B1.22,,GK
IT005,IT005.Q11,,2025-11-03,3,B3.20,,GK
IT005,IT005.Q11,,2025-11-03,3,B3.22,,GK
IT005,IT005.Q11.CNVN,,2025-11-03,3,C314,,GK
IT005,IT005.Q11.CNVN,,2025-11-03,3,C214,,GK
IT005,IT005.Q110,,2025-11-03,3,B4.10,,GK
IT005,IT005.Q110,,2025-11-03,3,B4.12,,GK
IT005,IT005.Q111,,2025-11-03,3,B1.20,,GK
IT005,IT005.Q111,,2025-11-03,3,B1.22,,GK
IT005,IT005.Q112,,2025-11-03,3,B5.10,,GK
IT005,IT005.Q112,,2025-11-03,3,B5.12,,GK
IT005,IT005.Q113,,2025-11-03,3,B5.14,,GK
IT005,IT005.Q114,,2025-11-03,3,B1.14,,GK
IT005,IT005.Q115,,2025-11-03,3,B1.06,,GK
IT005,IT005.Q115,,2025-11-03,3,B1.18,,GK
IT005,IT005.Q116,,2025-11-03,3,B1.02,,GK
IT005,IT005.Q116,,2025-11-03,3,B1.16,,GK
IT005,IT005.Q118,,2025-11-03,3,B7.02,,GK
IT005,IT005.Q119,,2025-11-03,3,B6.06,,GK
IT005,IT005.Q12,,2025-11-03,3,B3.10,,GK
IT005,IT005.Q12,,2025-11-03,3,B3.12,,GK
IT005,IT005.Q12.CNVN,,2025-11-03,3,C309,,GK
IT005,IT005.Q12.CNVN,,2025-11-03,3,C311,,GK
IT005,IT005.Q121,,2025-11-03,3,B6.08,,GK
IT005,IT005.Q13,,2025-11-03,3,B6.12,,GK
IT005,IT005.Q14,,2025-11-03,3,B4.14,,GK
IT005,IT005.Q15,,2025-11-03,3,B3.14,,GK
IT005,IT005.Q16,,2025-11-03,3,B3.16,,GK
IT005,IT005.Q16,,2025-11-03,3,B3.18,,GK
IT005,IT005.Q17,,2025-11-03,3,B6.02,,GK
IT005,IT005.Q17,,2025-11-03,3,B6.04,,GK
IT005,IT005.Q18,,2025-11-03,3,B4.16,,GK
IT005,IT005.Q18,,2025-11-03,3,B4.18,,GK
MA005,MA005.Q11,,2025-11-04,1,B4.14,,GK
MA005,MA005.Q12,,2025-11-04,1,B1.14,,GK
MA005,MA005.Q13,,2025-11-04,1,B3.14,,GK
MA005,MA005.Q14,,2025-11-04,1,B5.14,,GK
MA005,MA005.Q15,,2025-11-04,1,B6.06,,GK
CS2134,CS2134.Q11.CTTT,,2025-11-04,1,B1.20,,GK
CS2134,CS2134.Q12.CTTT,,2025-11-04,1,B1.22,,GK
STAT4033,STAT4033.Q11.CTTT,,2025-11-04,1,B1.18,,GK
IT004,IT004.Q11,,2025-11-04,2,B3.10,,GK
IT004,IT004.Q11,,2025-11-04,2,B3.12,,GK
IT004,IT004.Q11.CNVN,,2025-11-04,2,C213,,GK
IT004,IT004.Q11.CNVN,,2025-11-04,2,C214,,GK
IT004,IT004.Q110,,2025-11-04,2,B1.20,,GK
IT004,IT004.Q110,,2025-11-04,2,B1.22,,GK
IT004,IT004.Q111,,2025-11-04,2,B7.04,,GK
IT004,IT004.Q111,,2025-11-04,2,B7.06,,GK
IT004,IT004.Q112,,2025-11-04,2,B1.16,,GK
IT004,IT004.Q112,,2025-11-04,2,B1.18,,GK
IT004,IT004.Q113,,2025-11-04,2,B6.04,,GK
IT004,IT004.Q113,,2025-11-04,2,B4.20,,GK
IT004,IT004.Q114,,2025-11-04,2,B6.12,,GK
IT004,IT004.Q115,,2025-11-04,2,B4.10,,GK
IT004,IT004.Q115,,2025-11-04,2,B6.06,,GK
IT004,IT004.Q116,,2025-11-04,2,B5.14,,GK
IT004,IT004.Q117,,2025-11-04,2,B4.12,,GK
IT004,IT004.Q117,,2025-11-04,2,B1.14,,GK
IT004,IT004.Q118,,2025-11-04,2,B6.02,,GK
IT004,IT004.Q118,,2025-11-04,2,B4.22,,GK
IT004,IT004.Q12,,2025-11-04,2,B3.16,,GK
IT004,IT004.Q12,,2025-11-04,2,B3.18,,GK
IT004,IT004.Q12.CNVN,,2025-11-04,2,C102,,GK
IT004,IT004.Q12.CNVN,,2025-11-04,2,C202,,GK
IT004,IT004.Q13,,2025-11-04,2,B5.10,,GK
IT004,IT004.Q13,,2025-11-04,2,B5.12,,GK
IT004,IT004.Q14,,2025-11-04,2,B6.08,,GK
IT004,IT004.Q14,,2025-11-04,2,B6.10,,GK
IT004,IT004.Q15,,2025-11-04,2,B7.02,,GK
IT004,IT004.Q16,,2025-11-04,2,B1.10,,GK
IT004,IT004.Q16,,2025-11-04,2,B3.14,,GK
IT004,IT004.Q17,,2025-11-04,2,B1.12,,GK
IT004,IT004.Q17,,2025-11-04,2,B4.14,,GK
IT004,IT004.Q18,,2025-11-04,2,B4.16,,GK
IT004,IT004.Q18,,2025-11-04,2,B4.18,,GK
IT004,IT004.Q19,,2025-11-04,2,B3.20,,GK
IT004,IT004.Q19,,2025-11-04,2,B3.22,,GK
IT012,IT012.Q11,,2025-11-04,3,B1.16,,GK
IT012,IT012.Q11,,2025-11-04,3,B1.18,,GK
IT012,IT012.Q11.CNVN,,2025-11-04,3,B1.20,,GK
IT012,IT012.Q11.CNVN,,2025-11-04,3,B1.22,,GK
IT012,IT012.Q12,,2025-11-04,3,B3.16,,GK
IT012,IT012.Q12,,2025-11-04,3,B3.18,,GK
IT012,IT012.Q12.CNVN,,2025-11-04,3,B3.20,,GK
IT012,IT012.Q12.CNVN,,2025-11-04,3,B3.22,,GK
IT012,IT012.Q13,,2025-11-04,3,B5.10,,GK
IT012,IT012.Q13,,2025-11-04,3,B5.12,,GK
IT012,IT012.Q15,,2025-11-04,3,B4.16,,GK
IT012,IT012.Q15,,2025-11-04,3,B4.18,,GK
MA004,MA004.Q11.CNVN,,2025-11-05,1,B1.10,,GK
MA004,MA004.Q11.CNVN,,2025-11-05,1,B1.12,,GK
CS4323,CS4323.Q11.CTTT,,2025-11-05,3,B1.20,,GK
CS4323,CS4323.Q12.CTTT,,2025-11-05,3,B1.22,,GK
IT010,IT010.Q11,,2025-11-05,1,B1.20,,GK
IT010,IT010.Q11,,2025-11-05,1,B1.22,,GK
IT010,IT010.Q12,,2025-11-05,1,B3.20,,GK
IT010,IT010.Q12,,2025-11-05,1,B3.22,,GK
IT010,IT010.Q13,,2025-11-05,1,B1.16,,GK
IT010,IT010.Q13,,2025-11-05,1,B1.18,,GK
SS006,SS006.Q11,,2025-11-05,2,B1.20,,GK
SS006,SS006.Q11,,2025-11-05,2,B1.14,,GK
SS006,SS006.Q110,,2025-11-05,2,B1.16,,GK
SS006,SS006.Q110,,2025-11-05,2,B3.14,,GK
SS006,SS006.Q111,,2025-11-05,2,B4.14,,GK
SS006,SS006.Q12,,2025-11-05,2,B3.10,,GK
SS006,SS006.Q12,,2025-11-05,2,B3.12,,GK
SS006,SS006.Q12,,2025-11-05,2,B5.14,,GK
SS006,SS006.Q13,,2025-11-05,2,B6.02,,GK
SS006,SS006.Q13,,2025-11-05,2,B6.12,,GK
SS006,SS006.Q14,,2025-11-05,2,B3.16,,GK
SS006,SS006.Q14,,2025-11-05,2,B3.18,,GK
SS006,SS006.Q14,,2025-11-05,2,B6.04,,GK
SS006,SS006.Q15,,2025-11-05,2,B1.22,,GK
SS006,SS006.Q15,,2025-11-05,2,B6.06,,GK
SS006,SS006.Q16,,2025-11-05,2,B3.20,,GK
SS006,SS006.Q16,,2025-11-05,2,B3.22,,GK
SS006,SS006.Q17,,2025-11-05,2,B4.20,,GK
SS006,SS006.Q17,,2025-11-05,2,B4.22,,GK
SS006,SS006.Q18,,2025-11-05,2,B4.16,,GK
SS006,SS006.Q18,,2025-11-05,2,B9.02,,GK
SS006,SS006.Q19,,2025-11-05,2,B4.18,,GK
SS006,SS006.Q19,,2025-11-05,2,B7.02,,GK
PH001,PH001.Q11,,2025-11-06,1,B1.02,,GK
MA003,MA003.Q11,,2025-11-06,2,B1.10,,GK
MA003,MA003.Q11,,2025-11-06,2,B1.12,,GK
MA003,MA003.Q11.CTTN,,2025-11-06,2,C213,,GK
MA003,MA003.Q11.VMTN,,2025-11-06,2,E41,,GK
MA003,MA003.Q110,,2025-11-06,2,B3.10,,GK
MA003,MA003.Q110,,2025-11-06,2,B3.12,,GK
MA003,MA003.Q111,,2025-11-06,2,B1.14,,GK
MA003,MA003.Q112,,2025-11-06,2,B6.02,,GK
MA003,MA003.Q112,,2025-11-06,2,B6.04,,GK
MA003,MA003.Q113,,2025-11-06,2,B3.18,,GK
MA003,MA003.Q113,,2025-11-06,2,B3.22,,GK
MA003,MA003.Q114,,2025-11-06,2,B4.20,,GK
MA003,MA003.Q114,,2025-11-06,2,B4.22,,GK
MA003,MA003.Q115,,2025-11-06,2,B1.02,,GK
MA003,MA003.Q115,,2025-11-06,2,B1.22,,GK
MA003,MA003.Q116,,2025-11-06,2,B1.08,,GK
MA003,MA003.Q116,,2025-11-06,2,B3.16,,GK
MA003,MA003.Q117,,2025-11-06,2,B4.16,,GK
MA003,MA003.Q117,,2025-11-06,2,B4.18,,GK
MA003,MA003.Q118,,2025-11-06,2,B4.10,,GK
MA003,MA003.Q118,,2025-11-06,2,B4.12,,GK
MA003,MA003.Q119,,2025-11-06,2,B5.10,,GK
MA003,MA003.Q119,,2025-11-06,2,B5.12,,GK
MA003,MA003.Q12,,2025-11-06,2,B5.14,,GK
MA003,MA003.Q12.CNVN,,2025-11-06,2,E10.1,,GK
MA003,MA003.Q12.CNVN,,2025-11-06,2,C302,,GK
MA003,MA003.Q120,,2025-11-06,2,B7.04,,GK
MA003,MA003.Q120,,2025-11-06,2,B7.06,,GK
MA003,MA003.Q121,,2025-11-06,2,B4.14,,GK
MA003,MA003.Q122,,2025-11-06,2,B9.02,,GK
MA003,MA003.Q123,,2025-11-06,2,B6.06,,GK
MA003,MA003.Q124,,2025-11-06,2,C202,,GK
MA003,MA003.Q124,,2025-11-06,2,C102,,GK
MA003,MA003.Q125,,2025-11-06,2,B7.02,,GK
MA003,MA003.Q126,,2025-11-06,2,B6.12,,GK
MA003,MA003.Q13,,2025-11-06,2,C307,,GK
MA003,MA003.Q13,,2025-11-06,2,C309,,GK
MA003,MA003.Q13.CNVN,,2025-11-06,2,C214,,GK
MA003,MA003.Q13.CNVN,,2025-11-06,2,C212,,GK
MA003,MA003.Q14,,2025-11-06,2,B3.14,,GK
MA003,MA003.Q15,,2025-11-06,2,B6.08,,GK
MA003,MA003.Q15,,2025-11-06,2,B6.10,,GK
MA003,MA003.Q16,,2025-11-06,2,B1.04,,GK
MA003,MA003.Q16,,2025-11-06,2,B3.20,,GK
MA003,MA003.Q17,,2025-11-06,2,C311,,GK
MA003,MA003.Q17,,2025-11-06,2,C314,,GK
MA003,MA003.Q18,,2025-11-06,2,B1.16,,GK
MA003,MA003.Q18,,2025-11-06,2,B1.18,,GK
MA003,MA003.Q19,,2025-11-06,2,B1.06,,GK
MA003,MA003.Q19,,2025-11-06,2,B1.20,,GK
MATH2154,MATH2154.Q11.CTTT,,2025-11-06,1,B1.10,,GK
MATH2154,MATH2154.Q11.CTTT,,2025-11-06,1,B1.12,,GK
CS4343,CS4343.Q11.CTTT,,2025-11-06,3,B1.14,,GK
IT006,IT006.Q11,,2025-11-06,3,B5.14,,GK
IT006,IT006.Q11.VMTN,,2025-11-06,3,E41,,GK
IT006,IT006.Q12,,2025-11-06,3,B4.14,,GK
IT006,IT006.Q13,,2025-11-06,3,B6.06,,GK
IT006,IT006.Q14,,2025-11-06,3,B7.02,,GK
IT006,IT006.Q15,,2025-11-06,3,B3.14,,GK
CS3653,CS3653.Q11.CTTT,,2025-11-07,3,B1.20,,GK
IT007,IT007.Q11,,2025-11-07,2,B4.12,,GK
IT007,IT007.Q11,,2025-11-07,2,B4.16,,GK
IT007,IT007.Q11.CTTN,,2025-11-07,2,B3.14,,GK
IT007,IT007.Q110,,2025-11-07,2,B1.14,,GK
IT007,IT007.Q111,,2025-11-07,2,B4.10,,GK
IT007,IT007.Q111,,2025-11-07,2,B4.18,,GK
IT007,IT007.Q112,,2025-11-07,2,B1.12,,GK
IT007,IT007.Q112,,2025-11-07,2,B1.16,,GK
IT007,IT007.Q113,,2025-11-07,2,B6.06,,GK
IT007,IT007.Q114,,2025-11-07,2,B7.02,,GK
IT007,IT007.Q12,,2025-11-07,2,B1.10,,GK
IT007,IT007.Q12,,2025-11-07,2,B1.18,,GK
IT007,IT007.Q13,,2025-11-07,2,B4.14,,GK
IT007,IT007.Q14,,2025-11-07,2,B3.10,,GK
IT007,IT007.Q14,,2025-11-07,2,B3.12,,GK
IT007,IT007.Q15,,2025-11-07,2,B4.20,,GK
IT007,IT007.Q15,,2025-11-07,2,B4.22,,GK
IT007,IT007.Q16,,2025-11-07,2,B5.10,,GK
IT007,IT007.Q16,,2025-11-07,2,B5.12,,GK
IT007,IT007.Q17,,2025-11-07,2,B6.02,,GK
IT007,IT007.Q17,,2025-11-07,2,B6.04,,GK
IT007,IT007.Q18,,2025-11-07,2,B6.12,,GK
IT007,IT007.Q19,,2025-11-07,2,B5.14,,GK
PH002,PH002.Q11,,2025-11-07,3,B1.14,,GK
PH002,PH002.Q12,,2025-11-07,3,B4.14,,GK
PH002,PH002.Q13,,2025-11-07,3,B3.14,,GK
PH002,PH002.Q14,,2025-11-07,3,B1.16,,GK
PH002,PH002.Q14,,2025-11-07,3,B1.18,,GK
PH002,PH002.Q15,,2025-11-07,3,B5.14,,GK
PH002,PH002.Q16,,2025-11-07,3,B6.12,,GK
CS5423,CS5423.Q11.CTTT,,2025-11-08,2,B1.20,,GK
